id,groupId,name,description,startDate,endDate,formattedLocation,countryDescription,attendeesCount,companyAttendeesCount,investorAttendeesCount,attendeeNamesConcatString,industrySectorsConcatString,industryGroupsConcatString,industryCodesConcatString
5071,4964,Southern Georgia Home Show 2025,"Southern Georgia Home Show 2025 is an event hosted for homeowners and professionals in the home repair and construction industry. The event brings together industry professionals to connect on solar power, home automation, security, remodeling, design, and more. ",2025-08-01,2025-08-03,"Perry, Georgia",United States,1,1,,Superior Sleep Experience,Consumer Products and Services (B2C),"Consumer Durables, Services (Non-Financial)","Home Furnishings, Real Estate Services (B2C)"
2953,2891,DigiMarCon Canada 2025,"Digital Marketing, Media, and Advertising Conference & Exhibition is the one digital marketing event you can't afford to miss. Whether your goal is to reinforce customer loyalty, improve lead generation, increase sales, or drive stronger consumer engagement, DigiMarCon Toronto's agenda will help attendees enhance their marketing efforts. Sessions will focus on building traffic, expanding brand awareness, improving customer service, and gaining insight into today's latest digital tools.",2025-04-16,2025-04-17,"Toronto, Canada",Canada,10,10,1,"BlitzMetrics, Digital Commerce Payments, Garyrae, Linkby (Business/Productivity Software), Nexalin Technology (NAS: NXL), QNAP Systems (ROCO: 7805), SaaS Relaunch, Search Engine People, SoftTeco, Volterra (Social Media Marketing), kaformalInvestor_1748306118368cfo","Business Products and Services (B2B), Information Technology","Commercial Services, Other Information Technology","Media and Information Services (B2B), Other Information Technology"
832,823,Global Government Forum 2025,"Global Government Forum 2025 is an event hosted for innovation demands collaboration, understanding and mutual support, addressing barriers and tensions across the system. The event brings together government leaders from across the globe responsible for the transformation and acceleration of their public sector organisations and services. The systems and structures within which they operate must support and promote intelligent risk-taking. And they need to work in partnership across professional and organisational boundaries, assembling the right skills and capabilities to rebuild services around users’ needs.",2025-03-25,2025-03-26,"London, United Kingdom",United Kingdom,,,,,Business Products and Services (B2B),Commercial Services,Other Commercial Services
2957,2895,Kentucky EMS Conference & Expo 2025,"Kentucky EMS Conference & Expo 2025 is an event hosted for emergency medical services professionals. The event brings together healthcare professionals to connect on education, innovation, and best practices in pre-hospital care, allowing attendees to enhance their skills, network with peers, and stay current with industry standards.",2025-09-16,2025-09-19,"Owensboro, Kentucky",United States,13,13,,"CASPR Technologies, First Due, Handtevy Pediatric Emergency Standards, Henry Schein (NAS: HSIC), Operative IQ, Pearson (LON: PSON), Penn Care, Public Safety Group, Pulsara, University of Louisville Hospital, VBM Medizintechnik, formalCompany_1744677864078vms, iOps360","Business Products and Services (B2B), Healthcare","Commercial Services, Healthcare Services","Education and Training Services (B2B), Other Healthcare Services"
5084,4977,Atlanta Camping & RV Show 2026,"Atlanta Camping & RV Show s an event hosted for outdoor enthusiasts and adventure seekers focused on automotive sector. The event brings together the automotive industry showcasing the latest in camping gear, recreational vehicles, and outdoor lifestyle products, event attender can explore a wide range of exhibits featuring innovative RVs, tents, and accessories, allowing attendees to gain ideas and deals on short and long-trip travel destinations.",2026-01-22,2026-01-25,"Atlanta, Georgia",United States,,,,,Consumer Products and Services (B2C),Transportation,Automotive
2964,2902,CPhI North America 2025,"CPhI North America is an annual pharmaceutical event that serves as a key platform for industry professionals in North America. The event features a comprehensive exhibition highlighting pharmaceutical products, services, and innovations. It provides a networking opportunity for companies and professionals in the pharmaceutical sector, fostering collaborations and showcasing the latest developments in the industry. CPhI North America aims to facilitate connections, knowledge sharing, and business growth within the pharmaceutical community in the North American region.",2025-05-20,2025-05-22,"Philadelphia, Pennsylvania",United States,,,,,Business Products and Services (B2B),Commercial Services,Other Commercial Services
851,842,CCR London 2025,"CCR London 2025 is an event hosted for medical professionals. The event brings together surgical and non-surgical aesthetics professionals, bringing together practitioners, brands, and innovators for two days of education, networking, and product exploration.",2025-09-25,2025-09-26,"London, United Kingdom",United Kingdom,71,71,4,"3D Aesthetics, Acre Pharmacy, Aesthetic Technology, Aesthetics Media, Asclepion Laser Technologies, BTL Industries, Bellus Holdings, Candela, Candela Medical, Celluma Light Therapy, ClearCourse Partnership, Cosmetic Courses, Cutera, Cynosure (Other Devices and Supplies), E-clinic, EMA Aesthetics, Easyfairs, Equipmed, Esse Skincare, Galderma (U.K.), GetHarley, Harley Academy, Healthxchange Pharmacy, Hifas da Terra, HydraFacial, InMode (NAS: INMD), Iraye, Klira, Komtur Pharmaceuticals, LPG Systems, LYNTON LASERS LIMITED, MAP Health (), Marllor Biomedical, Med-Fx, Medical Aesthetic Group, Mediva Pharmacy: Aesthetics, Minerva Research Labs, Needle Concept, NeoGen, Novus Medical, Nuchido, Pabau, Pharmena (WAR: PHR), Phorest, QuantifiCare, Regen Lab, Roseway Labs, Sciton, Seriderm Uk, Shire Leasing, SkinCeuticals, Skymedic, SofWave (TAE: SOFW), Solta Medical, Stratpharma, The Beauty Health Company (NAS: SKIN), Uberlube, UltraClear, Wigmore Medical, ZO Skin Health, Zenoti, ajformalInvestor_1747703313474qds, byformalInvestor_1747703296229izt, djformalInvestor_1747703302980fcs, formal1741955530807ube, formalCompany_1739755962000aig, formalCompany_1742261601105ujw, formalCompany_1747615726422urt, formalCompany_1747615735238gdh, formalCompany_1747701676447twa, formalCompany_1747703190348msp, formalCompany_1747703202753yqb, formalCompany_1747703202856mfe, formalCompany_1748307424939lhr, formalCompany_1759712350820mej, mvformalInvestor_1747703305407axp, pxformalInvestor_1742175330239qlo, qjformalInvestor_1738590842739sqa",Healthcare,Healthcare Services,Other Healthcare Services
7237,7053,Shaping A Greener Future For Endotoxin Testing 2026,"The Shaping a Greener Future for Endotoxin Testing conference 2026 is an event hosted for professionals in the biopharmaceutical industry. The event brings together quality control managers, laboratory technicians, and biopharmaceutical testing specialists to connect on sustainable practices in endotoxin testing, allowing attendees to explore eco-friendly alternatives, such as recombinant Factor C and Monocyte Activation Tests, and discuss strategies for reducing environmental impact in laboratory operations.",2026-01-29,2026-01-30,"Barcelona, Spain",Spain,,,,,Information Technology,Other Information Technology,Other Information Technology
11481,10997,Psych Congress 2025,"Psych Congress 2025 is an event hosted for psychiatrists, nurse practitioners, physician assistants, psychologists, and other mental health professionals. The event brings together leaders in psychopharmacology and mental health care to connect on topics such as evidence-based treatment approaches, emerging research, and practical clinical techniques allowing to attendees to enhance their education, gain CME/CE credits, and improve patient outcomes through hands-on, case-based sessions led by internationally renowned faculty.",2025-09-17,2025-09-21,"San Diego, California",United States,59,59,1,"ACADIA Pharmaceuticals (NAS: ACAD), AbbVie (NYS: ABBV), Acadia Healthcare (NAS: ACHC), Access TeleCare, AdvancedMD, Alkermes (NAS: ALKS), Almatica Pharma, Alpha-Stim, American Psychiatric Press, Americanprofessional, Anonymous Health, Army Medicine Civilian Corps, AssureRX Health, Avadel Pharmaceuticals (NAS: AVDL), Axsome Therapeutics (NAS: AXSM), Boehringer Ingelheim, Bristol-Myers Squibb (NYS: BMY), CNS Vital Signs, Collaborating Docs, Collegium Pharmaceutical (NAS: COLL), CommonSpirit Health, Consiliumstaffing, Corium International, Creyos, FSLV Holdings, Harmony Biosciences (NAS: HRMY), Intracellular Therapies, Jazz Pharmaceuticals (NAS: JAZZ), Johnson & Johnson (NYS: JNJ), JotPsych, LivaNova (NAS: LIVN), LocumTenens.com, Luye Pharma Group (HKG: 02186), MagVenture, Magstim, MapLight, Mertz Taggart, MindMed (Pharmaceuticals and Biotechnology) (NAS: MNMD), Neurocrine Biosciences (NAS: NBIX), Neuronetics (NAS: STIM), Neuroscience Education Institute, Noven Pharmaceuticals, Otsuka U.S., PracticeLink, PracticeMatch, Professional Risk Management Services, Rula, SAGE Therapeutics, Supernus Pharmaceuticals (NAS: SUPN), Talkiatry, Talkspace (NAS: TALK), Telecare, Tempus AI (NAS: TEM), Teva Pharmaceutical Industries (TAE: TEVA), Tris Pharma, Valant Medical Solutions, Vertical Pharmaceuticals, Vistagen Therapeutics (NAS: VTGN), formalCompany_1744593326728vwv, neurocare, xmformalInvestor_1748532366251juo",Healthcare,Healthcare Services,"Clinics/Outpatient Services, Other Healthcare Services"
873,864,Scottish Dental Show 2025,"Scottish Dental Show 2025 bringing together dentists, dental nurses, hygienists, therapists, practice managers, and technicians for two days of professional development and networking, event features educational sessions covering clinical, legal, and practice management topics, alongside a large exhibition showcasing the latest dental products and technologies. ",2025-06-20,2025-06-21,"Glasgow, United Kingdom",United Kingdom,,,,,Healthcare,Healthcare Services,"Clinics/Outpatient Services, Other Healthcare Services"
9363,9052,Cyber Security Forum Sovereign‑Grade Resilience: Operationalizing National‑Scale Cyber Preparedness in Enterprise and Infrastructure 2025,"Cyber Security Forum Sovereign‑Grade Resilience: Operationalizing National‑Scale Cyber Preparedness in Enterprise and Infrastructure 2025 is an event hosted for cybersecurity executives and IT leaders. The event brings together industry professionals to connect on sovereign-grade resilience and operationalizing national-scale cyber preparedness, allowing attendees to explore advanced strategies, share insights, and build valuable partnerships in the evolving landscape of digital security.",2025-09-09,2025-09-09,"Haarlem, Netherlands",Netherlands,3,3,,"ProcessUnity, Tesorion, Trend Micro (TKS: 4704)","Business Products and Services (B2B), Information Technology","Commercial Services, Other Information Technology","Other Information Technology, Security Services (B2B)"
13610,12870,Transformational Data Assembly 2025,"Transformational Data Assembly 2025 is an event hosted for Global Chief Data Officers and senior data executives. The event brings together industry professionals to connect on topics such as data trust, privacy, cloud value, economic resilience, democratized data technology, and self-service governance, allowing attendees to explore innovative technology solutions that are crucial for driving businesses forward.",2025-11-20,2025-11-21,"Atlanta, Georgia",United States,,,,,Information Technology,IT Services,"IT Consulting and Outsourcing, Systems and Information Management"
3001,2939,Mayo Clinic Datathon and Data Summit 2025,"Mayo Clinic Datathon and Data Summit 2025 is an event hosted for professional healthcare technology. The event brings together multidisciplinary teams to develop innovative solutions using healthcare data. The event kicks off with a one-day data summit, featuring keynote addresses, panel discussions, and workshops on AI, data sharing, and ethical issues in healthcare. ",2025-04-04,2025-04-06,"Jacksonville, Florida",United States,,,,,"Healthcare, Information Technology","Other Healthcare, Other Information Technology","Other Healthcare, Other Information Technology"
3005,2943,SCHCA Annual Meeting & Expo 2025,"SCHCA Annual Meeting & Expo is an event hosted for care leaders. The event brings together education and training industry professionals to connect on high quality education, networking with peers, and exploring cutting edge supplies and services, allowing attendees to gain knowledge about future aspects.",2025-04-27,2025-04-30,"Myrtle Beach, South Carolina",United States,,,,,Business Products and Services (B2B),Commercial Services,Other Commercial Services
884,875,Health Optimisation Summit 2025,"The Health Optimisation Summit 2025 is an event hosted for individuals passionate about health, wellness, and performance. The event brings together healthcare professionals to connect on biohacking, nutrition, longevity, fitness, functional and preventative medicine, allowing attendees to access cutting-edge insights, experience innovative technologies, and engage with a community dedicated to optimizing health.",2025-09-13,2025-09-14,"London, United Kingdom",United Kingdom,39,39,1,"A.Vogel Limited, Axiom H2, BEAM Minerals, Ben Greenfield, BiOptimizers, CELLER8, Echo (Personal Care Product), Exhale (Beverages), Hifas da Terra, Hologenix (Los Angeles), Institut AllergoSan Pharmaceuticals Research & Sales, Kineon, Lingo ( Business/Productivity Software), Neurosonic Finland, Nomosu, OptimallyMe, Performance Health Systems, PharmEnable Therapeutics, Pharmena (WAR: PHR), Pure Maintenance UK, Quicksilver Scientific, REPOWR, Ra Optics, Randox, Rayonex Biomedical, Rejuv IV, SAMINA Prod- u. Handels, Stemregen, Sunlighten, THOR Photomedicine, The Wellness Tree Group, Timeline (Biotechnology), Tulā Code, Vire Health, Vitality Pro, Vivobase, Youth & Earth, Zero Gravity Skin, formal1741704917630zav, formalCompany_1741677439593mbo, formalCompany_1748826830988xyr, formalSP_1738637374193azj, formalSP_1747616256270vyv",Healthcare,Healthcare Services,Other Healthcare Services
7252,7068,GTM Luxury 2025,"‘GTM Luxury 2025’ is an event hosted for elite luxury travel advisors and high-end travel suppliers. The event brings together top-producing travel professionals and global 4+ star suppliers to connect on luxury travel trends, curated experiences, and strategic partnerships, allowing attendees to engage in pre-scheduled one-on-one meetings, participate in immersive boardroom sessions, and build meaningful relationships that drive business growth in the luxury travel sector.",2025-07-28,2025-07-30,"Phoenix, Arizona",United States,,,,,Consumer Products and Services (B2C),"Restaurants, Hotels and Leisure",Leisure Facilities
7253,7069,TTC Third Annual Conference 2025,"TTC Third Annual Conference 2025 is an event hosted for transportation technology professionals, government agencies, academic researchers, and industry innovators. The event brings together experts and decision-makers to connect on topics of rail innovation, safety, sustainability, and infrastructure modernization, allowing attendees to explore cutting-edge solutions, share research, and shape the future of mobility.",2025-10-07,2025-10-08,"Pueblo, Colorado",United States,12,12,,"AP Sensing, AtkinsRealis (TSE: ATRL), Cameron Connect, Center For Urban Transportation Research, Duagon, DymaxRail, Heuristic Actions, HiRAIL, Miller Ingenuity, OptiFuel Systems, ROBEL North America Corporation, Railway Metrics and Dynamics Sweden (NGM: RMDX)",Business Products and Services (B2B),"Commercial Products, Commercial Services","Other Commercial Products, Other Commercial Services"
7254,7070,2026 European Automotive Laser Applications,"The European Automotive Laser Applications conference is set to take place at the CONPARC Hotel & Conference Centre in Bad Nauheim, Germany, from February 3 to February 4, 2026. This prestigious event gathers industry leaders, researchers, and innovators to explore the latest advancements in laser applications within the automotive sector. Participants will have the opportunity to engage in insightful discussions, attend expert-led presentations, and network with fellow professionals. With a focus on cutting-edge technologies and trends, this conference is an essential platform for those looking to enhance their understanding of how laser technology is revolutionizing automotive manufacturing and design.",2026-02-03,2026-02-04,"Bad Nauheim, Germany",Germany,,,,,"Consumer Products and Services (B2C), Healthcare","Consumer Durables, Pharmaceuticals and Biotechnology","Drug Discovery, Electronics (B2C)"
9374,9063,"Governance, Risk & Compliance Summit NSW 2025","Cultivating risk preparedness and resilience is vital for attaining business goals and fulfilling stakeholder expectations. Participate in the premier interactive, in-person event for Governance, Risk, and Compliance (GRC) leaders from Australia and New Zealand to engage in strategic dialogues about challenges and opportunities in risk management and compliance. Engage in meaningful discussions concerning the evolving priorities of a Chief Risk Officer (CRO) in an unpredictable environment, the design and implementation of adaptable risk management strategies and frameworks, and the effective balance of competing compliance priorities in the digital era.",2025-10-14,2025-10-14,"Sydney, Australia",Australia,,,,,Financial Services,Other Financial Services,Other Financial Services
11499,11014,Western States Water Council Fall Meeting & Conference 2025,"WSWC Fall (208th) Meetings is an event hosted for state water officials and practitioners from the Western States. The event brings together industry professionals to connect on topics like groundwater management, aquifer recharge, water data strategies, and coastal water quality programs, allowing attendees to share technical insights, explore collaborative policy solutions, and advance regional water resource resilience.",2025-09-23,2025-09-26,"San Pedro, California",United States,,,,,Business Products and Services (B2B),Commercial Services,Environmental Services (B2B)
13622,12882,Family Office Super Summit 2025,"Family Office Super Summit 2025 is an event hosted for elite investors, capital raisers, and JV partners to connect on the latest trends and strategies in investing in the financial market. The event brings industry professionals to make meaningful connections, source deal flow, identify new fund
managers or sponsors, and keep on top of the best practices in their industry.",2025-12-09,2025-12-11,"Fort Lauderdale, Florida",United States,,,,Kinsella Group,Financial Services,Capital Markets/Institutions,"Asset Management, Brokerage, Investment Banks, Other Capital Markets/Institutions, Private Equity"
13623,12882,Family Office Super Summit 2024,"Family Office Super Summit 2024 is an event hosted for family office executives, ultra-wealthy investors, capital raisers, and private equity professionals in the global investment and wealth management space. The event brings together industry professionals to connect on direct investments, joint ventures, investor mandates, impact strategies, and AI-driven deal sourcing, allowing attendees to expand their networks, accelerate capital deployment, and unlock new opportunities in a dynamic investment landscape.",2024-12-10,2024-12-12,"Miami, Florida",United States,19,19,5,"Aevumed, Body Machine Fitness, Brennan Investment Group, ColdSnap, Davi Audio, Equity Trust, Forward Progress, Genius Ventures, Hedgehog Investments, Heritage Wealth Management (California), Investor Loan Source | ILS Capital, Kinsella Group, Lubert-Adler, Parking Vault, Pioneer Realty Capital, Purim Ventures, Renaissance Administration, Republic Investment Group, TLS Global Group, TomBot, Transcend (Other Services), Universal Financial Consultants, WealthTrust Asset Management, Youtopia, bTd (Services (B2C Non-Financial))",Financial Services,Capital Markets/Institutions,Private Equity
7260,7076,Footwear & Accessories Show Australia 2025,"‘Footwear & Accessories Show Australia 2025’ is an event hosted for footwear, fashion, and lifestyle industry professionals. The event brings together global suppliers, designers, brand managers, and sourcing agents to connect on international sourcing, product innovation, and fashion trends in footwear and accessories, allowing attendees to discover over 150 global manufacturers, streamline their supply chains, and expand their business networks in Australia’s fashion capital.",2025-11-18,2025-11-20,"Melbourne, Australia",Australia,,,,,"Consumer Products and Services (B2C), Materials and Resources","Apparel and Accessories, Consumer Non-Durables, Textiles","Clothing, Other Textiles, Personal Products"
9385,9074,GHBA's Annual Homebuilding & Remodeling Expo 2025,"GHBA's Annual Homebuilding & Remodeling Expo 2025 is an event hosted for professionals focused on food & beverages. The event brings together industry professionals to connect on topics of the latest tools, technologies, and trends in the homebuilding and remodeling industry, allowing attendees the chance to explore various exhibitor booths, recharge with delicious food, and participate in industry camaraderie.",2025-10-16,2025-10-16,"Houston, Texas",United States,8,8,,"Builders Firstsource (NYS: BLDR), Datasmart, Hotchkiss Insurance, RTG Cabinets, Ready Cable, StrucSure Home Warranty, The Detering Company, The Sherwin-Williams (NYS: SHW)",Consumer Products and Services (B2C),Consumer Non-Durables,Food Products
9386,9075,Hospice Financial Administration Conference 2025,"Hospice Financial Administration Conference 2025 is an event hosted for hospice financial professionals, administrators, consultants, and clinical leaders. The conference brings together experts and stakeholders to connect on the evolving landscape of hospice fiscal management, with a focus on compliance, reporting, and strategic financial planning. Attendees will benefit from in-depth sessions designed not only for accounting and finance teams but also for administrative personnel, consultants, and clinical managers seeking a deeper understanding of financial success in hospice care.",2025-10-16,2025-10-17,"Orlando, Florida",United States,,,,,Financial Services,Other Financial Services,Other Financial Services
11510,11025,London Design Forum 2025,"London Design Forum 2025 is an event hosted for designers, architects, creative professionals, and thought leaders from around the world. The event brings together industry professionals to connect on topics of focus such as sustainability, accessibility, inclusivity, and the future of design, allowing attendees to explore how design can address urgent global challenges while fostering innovation and collaboration.",2025-09-24,2025-09-25,"London, United Kingdom",United Kingdom,,,,,Consumer Products and Services (B2C),Services (Non-Financial),Other Services (B2C Non-Financial)
3024,2962,SecureWorld Chicago 2025,"SecureWorld Chicago 2025 is a one-day regional cybersecurity conference, the event is expected to draw hundreds of InfoSec professionals, including CISOs, IT security managers, and risk officers, the event features like microsite agenda builder and CyberHunt gamification.",2025-05-21,2025-05-21,"Rosemont, Illinois",United States,18,18,,"AppOmni, BitDefender, Black Duck Software, Cloud Storage Security, Darktrace, Dune Security, HiddenLayer, Human Security, Infoblox, Keeper Security, Permiso, Rapid7 (NAS: RPD), Robert Half (NYS: RHI), Silverfort, Sumo Logic, Tevora, ThreatLocker, Trustmi","Business Products and Services (B2B), Information Technology","Commercial Services, Computer Hardware, Other Information Technology","Computers, Parts and Peripherals, Other Commercial Services, Other Information Technology"
9394,9083,Building the Bridge 2025,"Building the Bridge 2025 is an event hosted for fitness business owners, operators, and professionals across Michigan. The event brings together industry leaders to connect on topics such as sustainable exercise motivation, leadership development, and bridging the gap between fitness and healthcare, allowing attendees to gain expert insights, continuing education credits, and practical strategies to elevate their businesses and foster healthier communities throughout the state.",2025-10-15,2025-10-15,"Lansing, Michigan",United States,,,,,Healthcare,Healthcare Services,Other Healthcare Services
